# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 5
#origin destination load 
23 25 1
5 37 1
2 26 1
1 34 1
5 17 1
26 31 1
12 38 1
4 25 1
33 35 1
21 22 1
29 34 1
9 24 1
11 12 1
6 39 1
21 37 1
4 24 1
21 34 1
23 29 1
15 24 1
6 13 1
7 32 1
3 19 1
6 28 1
13 23 1
6 20 1
0 1 1
9 22 1
12 35 1
9 11 1
6 16 1
12 35 1
8 33 1
14 27 1
3 23 1
20 28 1
5 10 1
21 31 1
11 33 1
9 28 1
0 17 1
15 17 1
1 37 1
14 26 1
32 35 1
0 17 1
12 34 1
5 27 1
20 32 1
1 35 1
13 36 1
24 38 1
7 10 1
20 36 1
0 11 1
5 20 1
0 12 1
1 37 1
9 23 1
7 34 1
11 24 1
