30	 & 	2	 & 	3	 & 	20	 & 	1	 & 	750	 & 	1080	 & 	10	 & 	11	 & 	37.4	 & 	35.0	 & 	35.0	 & 	0.00	 & 	1.9	 & 	0.0	 & 	1.6	 & 	0	 & 	143.0	 & 	491.0	 & 	0.0	 & 	81.0	 & 	715.0	 & 	2.3	 & 	15.2	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	1	 & 	540	 & 	1005	 & 	7	 & 	7	 & 	31.8	 & 	24.0	 & 	24.0	 & 	0.00	 & 	2.7	 & 	0.0	 & 	0.5	 & 	13	 & 	140.0	 & 	305.0	 & 	0.0	 & 	21.0	 & 	466.0	 & 	0.9	 & 	0.5	 & 	23.0	 & 	24.0	 & 	4.17	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	2	 & 	750	 & 	1125	 & 	8	 & 	9	 & 	2032.8	 & 	34.0	 & 	34.0	 & 	0.00	 & 	216.7	 & 	0.0	 & 	38.9	 & 	0	 & 	137.0	 & 	596.0	 & 	0.0	 & 	104.0	 & 	837.0	 & 	4.8	 & 	21.4	 & 	32.0	 & 	35.0	 & 	8.57	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	2	 & 	540	 & 	1005	 & 	9	 & 	9	 & 	540.1	 & 	26.0	 & 	26.0	 & 	0.00	 & 	84.2	 & 	0.0	 & 	4.2	 & 	20	 & 	141.0	 & 	273.0	 & 	0.0	 & 	29.0	 & 	443.0	 & 	1.5	 & 	0.4	 & 	25.0	 & 	27.0	 & 	7.41	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	3	 & 	750	 & 	1080	 & 	9	 & 	10	 & 	238.1	 & 	36.0	 & 	36.0	 & 	0.00	 & 	14.2	 & 	0.0	 & 	16.5	 & 	0	 & 	176.0	 & 	507.0	 & 	0.0	 & 	70.0	 & 	753.0	 & 	1.8	 & 	52.6	 & 	32.0	 & 	36.0	 & 	11.11	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	4	 & 	750	 & 	1110	 & 	8	 & 	8	 & 	108.3	 & 	34.0	 & 	34.0	 & 	0.00	 & 	7.8	 & 	0.0	 & 	13.2	 & 	0	 & 	128.0	 & 	359.0	 & 	0.0	 & 	70.0	 & 	557.0	 & 	1.4	 & 	13.2	 & 	32.0	 & 	34.0	 & 	5.88	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	3	 & 	540	 & 	1005	 & 	9	 & 	9	 & 	169.3	 & 	26.0	 & 	26.0	 & 	0.00	 & 	14.0	 & 	0.0	 & 	5.1	 & 	12	 & 	124.0	 & 	413.0	 & 	0.0	 & 	51.0	 & 	588.0	 & 	2.4	 & 	0.3	 & 	25.0	 & 	27.0	 & 	7.41	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	4	 & 	540	 & 	1005	 & 	9	 & 	10	 & 	0.2	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.2	 & 	30	 & 	114.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	114.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	5	 & 	540	 & 	1005	 & 	10	 & 	10	 & 	0.5	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.5	 & 	15	 & 	108.0	 & 	15.0	 & 	0.0	 & 	2.0	 & 	125.0	 & 	0.0	 & 	0.3	 & 	27.0	 & 	28.0	 & 	3.57	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	1	 & 	756	 & 	1385	 & 	12	 & 	12	 & 	2396.8	 & 	32.0	 & 	32.0	 & 	0.00	 & 	107.4	 & 	0.0	 & 	0.9	 & 	18	 & 	164.0	 & 	1341.0	 & 	0.0	 & 	174.0	 & 	1679.0	 & 	11.2	 & 	0.9	 & 	31.0	 & 	32.0	 & 	3.12	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	5	 & 	750	 & 	1125	 & 	9	 & 	10	 & 	3555.0	 & 	36.0	 & 	36.0	 & 	0.00	 & 	839.8	 & 	0.0	 & 	3.8	 & 	0	 & 	128.0	 & 	579.0	 & 	0.0	 & 	64.0	 & 	771.0	 & 	5.5	 & 	59.3	 & 	30.0	 & 	36.0	 & 	16.67	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	1	 & 	1044	 & 	1511	 & 	10	 & 	10	 & 	6131.9	 & 	41.0	 & 	41.0	 & 	0.00	 & 	433.1	 & 	0.0	 & 	52.3	 & 	0	 & 	207.0	 & 	835.0	 & 	0.0	 & 	75.0	 & 	1117.0	 & 	6.9	 & 	170.4	 & 	35.0	 & 	41.0	 & 	14.63	 & 	
30	 & 	2	 & 	6	 & 	10	 & 	1	 & 	600	 & 	1035	 & 	10	 & 	10	 & 	7200.0	 & 	27.6	 & 	31.0	 & 	10.97	 & 	1185.7	 & 	922.4	 & 	3.0	 & 	3	 & 	160.0	 & 	454.0	 & 	0.0	 & 	95.0	 & 	709.0	 & 	7.3	 & 	8.2	 & 	27.0	 & 	31.0	 & 	12.90	 & 	
30	 & 	2	 & 	6	 & 	10	 & 	2	 & 	600	 & 	1035	 & 	10	 & 	10	 & 	1217.5	 & 	29.0	 & 	29.0	 & 	0.00	 & 	50.7	 & 	0.0	 & 	0.5	 & 	10	 & 	164.0	 & 	572.0	 & 	0.0	 & 	84.0	 & 	820.0	 & 	4.8	 & 	1.0	 & 	28.0	 & 	29.0	 & 	3.45	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	1	 & 	828	 & 	1403	 & 	12	 & 	12	 & 	7200.0	 & 	31.3	 & 	35.0	 & 	10.48	 & 	444.7	 & 	373.6	 & 	13.7	 & 	2	 & 	228.0	 & 	1181.0	 & 	0.0	 & 	237.0	 & 	1646.0	 & 	17.1	 & 	47.2	 & 	31.0	 & 	35.0	 & 	11.43	 & 	
40	 & 	2	 & 	6	 & 	13	 & 	1	 & 	1060	 & 	1820	 & 	11	 & 	11	 & 	7200.0	 & 	34.3	 & 	38.0	 & 	9.81	 & 	241.7	 & 	197.7	 & 	10.4	 & 	2	 & 	294.0	 & 	1720.0	 & 	0.0	 & 	51.0	 & 	2065.0	 & 	14.0	 & 	879.8	 & 	33.0	 & 	38.0	 & 	13.16	 & 	
40	 & 	2	 & 	3	 & 	26	 & 	1	 & 	1320	 & 	1920	 & 	11	 & 	14	 & 	7200.0	 & 	45.5	 & 	50.0	 & 	9.07	 & 	306.2	 & 	271.7	 & 	879.4	 & 	0	 & 	252.0	 & 	1662.0	 & 	0.0	 & 	115.0	 & 	2029.0	 & 	19.4	 & 	748.9	 & 	42.0	 & 	51.0	 & 	17.65	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	2	 & 	756	 & 	1403	 & 	11	 & 	11	 & 	7200.0	 & 	29.4	 & 	32.0	 & 	8.15	 & 	629.4	 & 	416.1	 & 	1.4	 & 	10	 & 	186.0	 & 	1030.0	 & 	0.0	 & 	72.0	 & 	1288.0	 & 	10.7	 & 	10.2	 & 	29.0	 & 	32.0	 & 	9.37	 & 	
45	 & 	2	 & 	3	 & 	30	 & 	1	 & 	1725	 & 	2483	 & 	11	 & 	11	 & 	7200.0	 & 	45.7	 & 	49.0	 & 	6.82	 & 	199.5	 & 	159.8	 & 	971.7	 & 	0	 & 	287.0	 & 	1318.0	 & 	0.0	 & 	168.0	 & 	1773.0	 & 	15.0	 & 	810.9	 & 	42.0	 & 	53.0	 & 	20.75	 & 	
40	 & 	2	 & 	9	 & 	8	 & 	1	 & 	960	 & 	1780	 & 	11	 & 	11	 & 	7200.0	 & 	33.1	 & 	35.0	 & 	5.46	 & 	424.5	 & 	201.7	 & 	3.7	 & 	13	 & 	229.0	 & 	869.0	 & 	0.0	 & 	107.0	 & 	1205.0	 & 	12.5	 & 	3.7	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
45	 & 	2	 & 	6	 & 	15	 & 	1	 & 	1380	 & 	2368	 & 	13	 & 	13	 & 	7200.0	 & 	39.5	 & 	44.0	 & 	10.23	 & 	162.6	 & 	146.0	 & 	3185.1	 & 	2	 & 	360.0	 & 	1882.0	 & 	0.0	 & 	177.0	 & 	2419.0	 & 	37.0	 & 	1853.8	 & 	39.0	 & 	45.0	 & 	13.33	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	3	 & 	756	 & 	1403	 & 	10	 & 	10	 & 	1382.6	 & 	30.0	 & 	30.0	 & 	0.00	 & 	25.7	 & 	0.0	 & 	11.2	 & 	18	 & 	171.0	 & 	741.0	 & 	0.0	 & 	190.0	 & 	1102.0	 & 	5.9	 & 	2.3	 & 	29.0	 & 	31.0	 & 	6.45	 & 	
50	 & 	2	 & 	3	 & 	33	 & 	1	 & 	2075	 & 	2975	 & 	16	 & 	16	 & 	7200.0	 & 	57.0	 & 	62.0	 & 	8.01	 & 	85.6	 & 	79.0	 & 	6559.0	 & 	0	 & 	390.0	 & 	2101.0	 & 	0.0	 & 	332.0	 & 	2823.0	 & 	53.1	 & 	1458.7	 & 	53.0	 & 	65.0	 & 	18.46	 & 	
