30	 & 	2	 & 	9	 & 	6	 & 	1	 & 	540	 & 	1005	 & 	7	 & 	7	 & 	10.7	 & 	24.0	 & 	24.0	 & 	0.00	 & 	0.9	 & 	0.0	 & 	1.1	 & 	1	 & 	141.0	 & 	333.0	 & 	0.0	 & 	18.0	 & 	492.0	 & 	0.8	 & 	2.5	 & 	23.0	 & 	24.0	 & 	4.17	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	1	 & 	750	 & 	1080	 & 	10	 & 	11	 & 	36.5	 & 	35.0	 & 	35.0	 & 	0.00	 & 	1.9	 & 	0.0	 & 	1.6	 & 	0	 & 	143.0	 & 	491.0	 & 	0.0	 & 	81.0	 & 	715.0	 & 	2.5	 & 	14.9	 & 	33.0	 & 	35.0	 & 	5.71	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	2	 & 	540	 & 	1005	 & 	9	 & 	9	 & 	82.0	 & 	26.0	 & 	26.0	 & 	0.00	 & 	14.7	 & 	0.0	 & 	4.8	 & 	11	 & 	142.0	 & 	274.0	 & 	0.0	 & 	22.0	 & 	438.0	 & 	1.2	 & 	0.6	 & 	25.0	 & 	27.0	 & 	7.41	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	3	 & 	540	 & 	1005	 & 	9	 & 	9	 & 	36.1	 & 	26.0	 & 	26.0	 & 	0.00	 & 	2.8	 & 	0.0	 & 	6.6	 & 	2	 & 	127.0	 & 	370.0	 & 	0.0	 & 	50.0	 & 	547.0	 & 	1.2	 & 	5.9	 & 	25.0	 & 	27.0	 & 	7.41	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	4	 & 	540	 & 	1005	 & 	9	 & 	10	 & 	0.2	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.1	 & 	6	 & 	113.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	113.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
30	 & 	2	 & 	9	 & 	6	 & 	5	 & 	540	 & 	1005	 & 	10	 & 	10	 & 	0.4	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.3	 & 	5	 & 	104.0	 & 	2.0	 & 	0.0	 & 	0.0	 & 	106.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	2	 & 	750	 & 	1125	 & 	8	 & 	9	 & 	1970.7	 & 	34.0	 & 	34.0	 & 	0.00	 & 	216.7	 & 	0.0	 & 	38.0	 & 	0	 & 	137.0	 & 	596.0	 & 	0.0	 & 	104.0	 & 	837.0	 & 	4.3	 & 	21.0	 & 	32.0	 & 	35.0	 & 	8.57	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	3	 & 	750	 & 	1080	 & 	9	 & 	10	 & 	234.2	 & 	36.0	 & 	36.0	 & 	0.00	 & 	14.2	 & 	0.0	 & 	16.3	 & 	0	 & 	176.0	 & 	507.0	 & 	0.0	 & 	70.0	 & 	753.0	 & 	2.1	 & 	51.9	 & 	32.0	 & 	36.0	 & 	11.11	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	4	 & 	750	 & 	1110	 & 	8	 & 	8	 & 	105.8	 & 	34.0	 & 	34.0	 & 	0.00	 & 	7.8	 & 	0.0	 & 	13.0	 & 	0	 & 	128.0	 & 	359.0	 & 	0.0	 & 	70.0	 & 	557.0	 & 	1.5	 & 	13.0	 & 	32.0	 & 	34.0	 & 	5.88	 & 	
30	 & 	2	 & 	3	 & 	20	 & 	5	 & 	750	 & 	1125	 & 	9	 & 	10	 & 	3428.0	 & 	36.0	 & 	36.0	 & 	0.00	 & 	839.8	 & 	0.0	 & 	3.7	 & 	0	 & 	128.0	 & 	579.0	 & 	0.0	 & 	64.0	 & 	771.0	 & 	5.0	 & 	58.1	 & 	30.0	 & 	36.0	 & 	16.67	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	1	 & 	500	 & 	750	 & 	4	 & 	4	 & 	27.3	 & 	25.0	 & 	25.0	 & 	0.00	 & 	2.9	 & 	0.0	 & 	6.8	 & 	0	 & 	16.0	 & 	739.0	 & 	0.0	 & 	101.0	 & 	856.0	 & 	2.1	 & 	1.0	 & 	19.0	 & 	26.0	 & 	26.92	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	2	 & 	500	 & 	770	 & 	4	 & 	4	 & 	14.0	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.9	 & 	0.0	 & 	5.9	 & 	3	 & 	0.0	 & 	398.0	 & 	0.0	 & 	52.0	 & 	450.0	 & 	0.7	 & 	3.9	 & 	22.0	 & 	28.0	 & 	21.43	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	3	 & 	500	 & 	720	 & 	5	 & 	5	 & 	4.4	 & 	27.0	 & 	27.0	 & 	0.00	 & 	0.4	 & 	0.0	 & 	3.2	 & 	1	 & 	11.0	 & 	266.0	 & 	0.0	 & 	39.0	 & 	316.0	 & 	0.8	 & 	1.3	 & 	21.5	 & 	29.0	 & 	25.86	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	4	 & 	500	 & 	730	 & 	4	 & 	4	 & 	17.8	 & 	27.0	 & 	27.0	 & 	0.00	 & 	4.0	 & 	0.0	 & 	1.0	 & 	0	 & 	11.0	 & 	247.0	 & 	0.0	 & 	11.0	 & 	269.0	 & 	0.9	 & 	0.5	 & 	20.3	 & 	30.0	 & 	32.22	 & 	
30	 & 	5	 & 	3	 & 	20	 & 	5	 & 	500	 & 	740	 & 	4	 & 	4	 & 	55.5	 & 	28.0	 & 	28.0	 & 	0.00	 & 	6.2	 & 	0.0	 & 	11.7	 & 	2	 & 	0.0	 & 	637.0	 & 	0.0	 & 	28.0	 & 	665.0	 & 	1.1	 & 	9.7	 & 	24.0	 & 	29.0	 & 	17.24	 & 	
30	 & 	5	 & 	6	 & 	10	 & 	1	 & 	400	 & 	700	 & 	4	 & 	4	 & 	64.3	 & 	19.0	 & 	19.0	 & 	0.00	 & 	14.5	 & 	0.0	 & 	1.7	 & 	2	 & 	43.0	 & 	476.0	 & 	0.0	 & 	53.0	 & 	572.0	 & 	1.2	 & 	1.7	 & 	14.5	 & 	19.0	 & 	23.68	 & 	
30	 & 	5	 & 	6	 & 	10	 & 	2	 & 	400	 & 	710	 & 	4	 & 	4	 & 	23.7	 & 	19.0	 & 	19.0	 & 	0.00	 & 	5.8	 & 	0.0	 & 	6.2	 & 	1	 & 	22.0	 & 	391.0	 & 	0.0	 & 	32.0	 & 	445.0	 & 	1.0	 & 	1.0	 & 	12.5	 & 	21.0	 & 	40.48	 & 	
35	 & 	2	 & 	3	 & 	23	 & 	1	 & 	1044	 & 	1511	 & 	10	 & 	10	 & 	6007.0	 & 	41.0	 & 	41.0	 & 	0.00	 & 	433.1	 & 	0.0	 & 	51.0	 & 	0	 & 	207.0	 & 	835.0	 & 	0.0	 & 	75.0	 & 	1117.0	 & 	7.0	 & 	164.8	 & 	35.0	 & 	41.0	 & 	14.63	 & 	
30	 & 	5	 & 	6	 & 	10	 & 	3	 & 	400	 & 	710	 & 	4	 & 	4	 & 	62.1	 & 	18.0	 & 	18.0	 & 	0.00	 & 	2.8	 & 	0.0	 & 	55.8	 & 	1	 & 	33.0	 & 	1760.0	 & 	0.0	 & 	390.0	 & 	2183.0	 & 	4.3	 & 	0.5	 & 	13.0	 & 	20.0	 & 	35.00	 & 	
30	 & 	5	 & 	6	 & 	10	 & 	4	 & 	400	 & 	700	 & 	4	 & 	4	 & 	55.0	 & 	18.0	 & 	18.0	 & 	0.00	 & 	8.9	 & 	0.0	 & 	1.1	 & 	2	 & 	40.0	 & 	568.0	 & 	0.0	 & 	141.0	 & 	749.0	 & 	1.5	 & 	1.1	 & 	14.0	 & 	18.0	 & 	22.22	 & 	
30	 & 	5	 & 	6	 & 	10	 & 	5	 & 	400	 & 	690	 & 	4	 & 	4	 & 	197.6	 & 	19.0	 & 	19.0	 & 	0.00	 & 	34.6	 & 	0.0	 & 	2.1	 & 	5	 & 	33.0	 & 	877.0	 & 	0.0	 & 	119.0	 & 	1029.0	 & 	1.8	 & 	0.5	 & 	13.0	 & 	23.0	 & 	43.48	 & 	
30	 & 	5	 & 	9	 & 	6	 & 	1	 & 	360	 & 	670	 & 	4	 & 	4	 & 	1.3	 & 	14.0	 & 	14.0	 & 	0.00	 & 	0.6	 & 	0.0	 & 	1.3	 & 	1	 & 	49.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	49.0	 & 	0.0	 & 	0.3	 & 	13.0	 & 	16.0	 & 	18.75	 & 	
30	 & 	5	 & 	9	 & 	6	 & 	2	 & 	360	 & 	680	 & 	4	 & 	4	 & 	1.0	 & 	13.0	 & 	13.0	 & 	0.00	 & 	0.1	 & 	0.0	 & 	0.7	 & 	1	 & 	53.0	 & 	0.0	 & 	0.0	 & 	1.0	 & 	54.0	 & 	0.0	 & 	0.3	 & 	12.0	 & 	14.0	 & 	14.29	 & 	
30	 & 	5	 & 	9	 & 	6	 & 	3	 & 	360	 & 	680	 & 	4	 & 	4	 & 	0.6	 & 	13.0	 & 	13.0	 & 	0.00	 & 	0.1	 & 	0.0	 & 	0.5	 & 	1	 & 	33.0	 & 	0.0	 & 	0.0	 & 	0.0	 & 	33.0	 & 	0.0	 & 	0.2	 & 	11.0	 & 	15.0	 & 	26.67	 & 	
30	 & 	5	 & 	9	 & 	6	 & 	4	 & 	360	 & 	680	 & 	4	 & 	4	 & 	7.6	 & 	14.0	 & 	14.0	 & 	0.00	 & 	3.8	 & 	0.0	 & 	0.5	 & 	2	 & 	53.0	 & 	0.0	 & 	0.0	 & 	1.0	 & 	54.0	 & 	0.0	 & 	0.3	 & 	11.0	 & 	17.0	 & 	35.29	 & 	
30	 & 	5	 & 	9	 & 	6	 & 	5	 & 	360	 & 	680	 & 	3	 & 	3	 & 	0.7	 & 	13.0	 & 	13.0	 & 	0.00	 & 	0.1	 & 	0.0	 & 	0.7	 & 	2	 & 	36.0	 & 	0.0	 & 	0.0	 & 	2.0	 & 	38.0	 & 	0.0	 & 	0.3	 & 	11.0	 & 	14.0	 & 	21.43	 & 	
35	 & 	5	 & 	3	 & 	23	 & 	1	 & 	696	 & 	1019	 & 	5	 & 	5	 & 	571.0	 & 	31.0	 & 	31.0	 & 	0.01	 & 	24.8	 & 	0.0	 & 	165.0	 & 	0	 & 	24.0	 & 	1387.0	 & 	0.0	 & 	440.0	 & 	1851.0	 & 	11.5	 & 	12.7	 & 	25.0	 & 	34.0	 & 	26.47	 & 	
35	 & 	5	 & 	3	 & 	23	 & 	2	 & 	696	 & 	1031	 & 	4	 & 	4	 & 	185.8	 & 	31.0	 & 	31.0	 & 	0.00	 & 	16.8	 & 	0.0	 & 	42.8	 & 	0	 & 	0.0	 & 	711.0	 & 	0.0	 & 	61.0	 & 	772.0	 & 	2.1	 & 	15.7	 & 	25.2	 & 	36.0	 & 	30.02	 & 	
35	 & 	5	 & 	3	 & 	23	 & 	3	 & 	696	 & 	1055	 & 	4	 & 	4	 & 	78.3	 & 	29.0	 & 	29.0	 & 	0.01	 & 	9.4	 & 	0.0	 & 	66.1	 & 	1	 & 	12.0	 & 	424.0	 & 	0.0	 & 	37.0	 & 	473.0	 & 	1.8	 & 	5.2	 & 	23.3	 & 	31.0	 & 	24.81	 & 	
30	 & 	2	 & 	6	 & 	10	 & 	1	 & 	600	 & 	1035	 & 	10	 & 	10	 & 	7200.0	 & 	28.7	 & 	31.0	 & 	7.55	 & 	1155.4	 & 	669.5	 & 	11.6	 & 	9	 & 	160.0	 & 	509.0	 & 	0.0	 & 	82.0	 & 	751.0	 & 	6.1	 & 	9.2	 & 	27.0	 & 	32.0	 & 	15.62	 & 	
35	 & 	2	 & 	9	 & 	7	 & 	1	 & 	756	 & 	1385	 & 	12	 & 	12	 & 	7200.0	 & 	31.0	 & 	32.0	 & 	3.12	 & 	433.1	 & 	0.3	 & 	1.4	 & 	6	 & 	165.0	 & 	1052.0	 & 	0.0	 & 	160.0	 & 	1377.0	 & 	9.1	 & 	1.8	 & 	31.0	 & 	32.0	 & 	3.12	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	1	 & 	828	 & 	1403	 & 	12	 & 	12	 & 	7200.0	 & 	32.6	 & 	35.0	 & 	6.83	 & 	451.5	 & 	231.3	 & 	9.0	 & 	3	 & 	228.0	 & 	1389.0	 & 	0.0	 & 	156.0	 & 	1773.0	 & 	9.6	 & 	312.0	 & 	31.0	 & 	35.0	 & 	11.43	 & 	
