30	 & 	2	 & 	9	 & 	6	 & 	540	 & 	1005	 & 	8.8	 & 	9.0	 & 	148.4	 & 	26.0	 & 	26.0	 & 	0.00	 & 	20.2	 & 	0.0	 & 	2.1	 & 	18.0	 & 	0.30	 & 	20.0	 & 	21.2	 & 	4.51	 & 	125.4	 & 	1.0
30	 & 	2	 & 	3	 & 	20	 & 	750	 & 	1104	 & 	8.8	 & 	9.6	 & 	1194.3	 & 	35.0	 & 	35.0	 & 	0.00	 & 	216.1	 & 	0.0	 & 	14.8	 & 	0.0	 & 	32.36	 & 	31.8	 & 	35.2	 & 	9.59	 & 	142.4	 & 	3.1
30	 & 	2	 & 	6	 & 	10	 & 	600	 & 	1038	 & 	9.6	 & 	9.6	 & 	4585.5	 & 	28.3	 & 	29.6	 & 	4.15	 & 	639.8	 & 	290.7	 & 	1.6	 & 	4.8	 & 	29.17	 & 	27.2	 & 	29.6	 & 	8.04	 & 	156.4	 & 	6.1
35	 & 	2	 & 	9	 & 	7	 & 	756	 & 	1395	 & 	11.0	 & 	11.0	 & 	5075.9	 & 	30.4	 & 	31.6	 & 	3.83	 & 	477.5	 & 	256.9	 & 	3.0	 & 	21.8	 & 	4.35	 & 	29.8	 & 	31.8	 & 	6.29	 & 	178.0	 & 	8.5
35	 & 	2	 & 	3	 & 	23	 & 	1044	 & 	1525	 & 	11.4	 & 	11.6	 & 	5434.0	 & 	40.3	 & 	41.2	 & 	2.20	 & 	338.3	 & 	100.0	 & 	32.4	 & 	0.0	 & 	157.06	 & 	36.6	 & 	41.4	 & 	11.60	 & 	219.0	 & 	7.2
30	 & 	5	 & 	3	 & 	20	 & 	500	 & 	742	 & 	4.2	 & 	4.2	 & 	24.5	 & 	26.8	 & 	26.8	 & 	0.00	 & 	2.9	 & 	0.0	 & 	5.9	 & 	1.2	 & 	3.33	 & 	21.4	 & 	28.4	 & 	24.74	 & 	7.6	 & 	1.1
30	 & 	5	 & 	6	 & 	10	 & 	400	 & 	702	 & 	4.0	 & 	4.0	 & 	166.2	 & 	18.6	 & 	18.6	 & 	0.00	 & 	21.3	 & 	0.0	 & 	7.9	 & 	2.2	 & 	2.79	 & 	13.4	 & 	19.8	 & 	31.70	 & 	34.0	 & 	2.1
30	 & 	5	 & 	9	 & 	6	 & 	360	 & 	678	 & 	3.8	 & 	3.8	 & 	2.7	 & 	13.4	 & 	13.4	 & 	0.00	 & 	1.0	 & 	0.0	 & 	0.7	 & 	2.2	 & 	0.26	 & 	11.6	 & 	14.4	 & 	19.19	 & 	44.2	 & 	0.0
40	 & 	2	 & 	3	 & 	26	 & 	1320	 & 	1904	 & 	11.2	 & 	12.8	 & 	6506.0	 & 	44.8	 & 	47.6	 & 	5.72	 & 	307.0	 & 	214.6	 & 	1640.4	 & 	0.0	 & 	442.93	 & 	40.1	 & 	48.8	 & 	17.76	 & 	243.6	 & 	11.9
35	 & 	2	 & 	6	 & 	11	 & 	828	 & 	1439	 & 	11.0	 & 	11.0	 & 	7200.0	 & 	31.6	 & 	33.6	 & 	5.81	 & 	537.2	 & 	312.1	 & 	7.3	 & 	1.8	 & 	45.41	 & 	31.0	 & 	33.6	 & 	7.69	 & 	219.6	 & 	14.7
35	 & 	5	 & 	9	 & 	7	 & 	504	 & 	947	 & 	4.8	 & 	4.8	 & 	39.5	 & 	16.8	 & 	16.8	 & 	0.00	 & 	9.6	 & 	0.0	 & 	7.2	 & 	3.8	 & 	0.54	 & 	14.6	 & 	17.4	 & 	15.98	 & 	75.0	 & 	0.2
35	 & 	5	 & 	3	 & 	23	 & 	696	 & 	1035	 & 	4.6	 & 	4.6	 & 	768.7	 & 	31.0	 & 	31.0	 & 	0.01	 & 	33.0	 & 	0.0	 & 	235.1	 & 	0.6	 & 	9.59	 & 	24.5	 & 	34.2	 & 	28.24	 & 	9.8	 & 	7.1
40	 & 	2	 & 	6	 & 	13	 & 	1060	 & 	1836	 & 	11.4	 & 	11.6	 & 	7200.0	 & 	35.1	 & 	38.8	 & 	9.63	 & 	253.8	 & 	211.2	 & 	139.8	 & 	2.8	 & 	678.36	 & 	34.0	 & 	38.8	 & 	12.41	 & 	301.8	 & 	20.2
45	 & 	2	 & 	3	 & 	30	 & 	1725	 & 	2460	 & 	12.4	 & 	14.0	 & 	7200.0	 & 	48.6	 & 	52.8	 & 	7.97	 & 	147.3	 & 	121.0	 & 	1860.6	 & 	0.0	 & 	1730.85	 & 	45.2	 & 	54.0	 & 	16.30	 & 	354.2	 & 	18.0
40	 & 	2	 & 	9	 & 	8	 & 	960	 & 	1780	 & 	11.0	 & 	11.0	 & 	7200.0	 & 	33.3	 & 	35.0	 & 	4.78	 & 	321.0	 & 	136.0	 & 	5.5	 & 	32.4	 & 	3.28	 & 	33.2	 & 	35.2	 & 	5.65	 & 	231.2	 & 	11.0
45	 & 	2	 & 	6	 & 	15	 & 	1380	 & 	2354	 & 	13.4	 & 	13.6	 & 	7200.0	 & 	40.3	 & 	44.6	 & 	9.62	 & 	133.2	 & 	115.6	 & 	3878.4	 & 	1.2	 & 	1693.82	 & 	39.8	 & 	45.8	 & 	13.05	 & 	381.6	 & 	36.2
