30	 & 	2	 & 	9	 & 	6	 & 	540	 & 	1005	 & 	8.8	 & 	9.0	 & 	25.9	 & 	26.0	 & 	26.0	 & 	0.00	 & 	3.7	 & 	0.0	 & 	2.6	 & 	5.0	 & 	1.81	 & 	14.6	 & 	15.6	 & 	3.80	 & 	125.4	 & 	0.6
30	 & 	2	 & 	3	 & 	20	 & 	750	 & 	1104	 & 	8.8	 & 	9.6	 & 	1155.0	 & 	35.0	 & 	35.0	 & 	0.00	 & 	216.1	 & 	0.0	 & 	14.5	 & 	0.0	 & 	31.78	 & 	31.8	 & 	35.2	 & 	9.59	 & 	142.4	 & 	3.1
30	 & 	5	 & 	3	 & 	20	 & 	500	 & 	742	 & 	4.2	 & 	4.2	 & 	23.8	 & 	26.8	 & 	26.8	 & 	0.00	 & 	2.9	 & 	0.0	 & 	5.7	 & 	1.2	 & 	3.28	 & 	21.4	 & 	28.4	 & 	24.74	 & 	7.6	 & 	1.1
30	 & 	5	 & 	6	 & 	10	 & 	400	 & 	702	 & 	4.0	 & 	4.0	 & 	80.5	 & 	18.6	 & 	18.6	 & 	0.00	 & 	13.3	 & 	0.0	 & 	13.4	 & 	2.2	 & 	0.96	 & 	13.4	 & 	20.2	 & 	32.97	 & 	34.2	 & 	2.0
30	 & 	5	 & 	9	 & 	6	 & 	360	 & 	678	 & 	3.8	 & 	3.8	 & 	2.2	 & 	13.4	 & 	13.4	 & 	0.00	 & 	0.9	 & 	0.0	 & 	0.7	 & 	1.4	 & 	0.27	 & 	11.6	 & 	15.2	 & 	23.29	 & 	44.8	 & 	0.0
35	 & 	5	 & 	3	 & 	23	 & 	696	 & 	1035	 & 	4.6	 & 	4.6	 & 	747.0	 & 	31.0	 & 	31.0	 & 	0.01	 & 	33.0	 & 	0.0	 & 	228.6	 & 	0.6	 & 	9.43	 & 	24.5	 & 	34.2	 & 	28.24	 & 	9.8	 & 	7.1
30	 & 	2	 & 	6	 & 	10	 & 	600	 & 	1038	 & 	9.6	 & 	9.6	 & 	3269.0	 & 	28.8	 & 	29.6	 & 	2.64	 & 	395.4	 & 	191.7	 & 	52.5	 & 	4.6	 & 	34.68	 & 	27.2	 & 	30.2	 & 	9.83	 & 	155.8	 & 	4.1
35	 & 	5	 & 	9	 & 	7	 & 	504	 & 	947	 & 	4.8	 & 	4.8	 & 	16.4	 & 	16.8	 & 	16.8	 & 	0.00	 & 	3.4	 & 	0.0	 & 	4.1	 & 	2.4	 & 	0.68	 & 	14.6	 & 	18.0	 & 	18.63	 & 	74.2	 & 	0.2
35	 & 	2	 & 	9	 & 	7	 & 	756	 & 	1395	 & 	11.0	 & 	11.0	 & 	3555.3	 & 	30.9	 & 	31.6	 & 	2.19	 & 	345.9	 & 	94.4	 & 	8.9	 & 	5.0	 & 	10.89	 & 	29.8	 & 	31.8	 & 	6.29	 & 	179.6	 & 	5.8
35	 & 	2	 & 	6	 & 	11	 & 	828	 & 	1439	 & 	11.0	 & 	11.0	 & 	3609.3	 & 	32.9	 & 	33.6	 & 	1.97	 & 	291.8	 & 	46.4	 & 	22.3	 & 	3.2	 & 	107.77	 & 	31.0	 & 	33.6	 & 	7.69	 & 	219.0	 & 	6.5
35	 & 	5	 & 	6	 & 	11	 & 	552	 & 	968	 & 	4.6	 & 	4.6	 & 	3117.2	 & 	20.9	 & 	21.8	 & 	3.95	 & 	135.9	 & 	43.6	 & 	260.0	 & 	4.8	 & 	2.82	 & 	15.4	 & 	25.4	 & 	38.52	 & 	52.8	 & 	10.5
35	 & 	2	 & 	3	 & 	23	 & 	1044	 & 	1525	 & 	11.4	 & 	11.6	 & 	5383.0	 & 	40.3	 & 	41.2	 & 	2.19	 & 	343.3	 & 	102.2	 & 	31.6	 & 	0.0	 & 	153.12	 & 	36.6	 & 	41.4	 & 	11.60	 & 	219.0	 & 	6.9
40	 & 	5	 & 	9	 & 	8	 & 	672	 & 	1246	 & 	5.0	 & 	5.0	 & 	1950.1	 & 	19.1	 & 	19.4	 & 	1.43	 & 	248.0	 & 	31.7	 & 	412.4	 & 	3.0	 & 	8.32	 & 	16.2	 & 	20.8	 & 	21.76	 & 	97.4	 & 	1.8
40	 & 	2	 & 	9	 & 	8	 & 	960	 & 	1780	 & 	11.0	 & 	11.2	 & 	6000.7	 & 	34.4	 & 	35.0	 & 	1.80	 & 	344.2	 & 	65.1	 & 	267.9	 & 	8.2	 & 	3.55	 & 	33.2	 & 	35.2	 & 	5.65	 & 	230.4	 & 	9.8
40	 & 	2	 & 	3	 & 	26	 & 	1320	 & 	1904	 & 	11.2	 & 	12.6	 & 	6500.3	 & 	44.8	 & 	47.8	 & 	6.09	 & 	310.2	 & 	217.3	 & 	378.5	 & 	0.0	 & 	437.93	 & 	40.1	 & 	48.8	 & 	17.76	 & 	243.6	 & 	11.7
40	 & 	5	 & 	3	 & 	26	 & 	924	 & 	1400	 & 	4.4	 & 	4.8	 & 	3236.5	 & 	35.4	 & 	36.0	 & 	1.72	 & 	179.4	 & 	63.3	 & 	1111.3	 & 	0.4	 & 	15.51	 & 	28.1	 & 	39.6	 & 	28.68	 & 	9.6	 & 	5.8
50	 & 	2	 & 	6	 & 	16	 & 	1650	 & 	2855	 & 	15.4	 & 	16.0	 & 	7200.0	 & 	45.0	 & 	51.0	 & 	11.78	 & 	12.1	 & 	8.5	 & 	2642.9	 & 	1.0	 & 	2137.17	 & 	26.6	 & 	30.2	 & 	7.15	 & 	436.0	 & 	30.5
55	 & 	2	 & 	6	 & 	18	 & 	2044	 & 	3482	 & 	16.0	 & 	16.6	 & 	7200.0	 & 	48.6	 & 	57.8	 & 	15.84	 & 	0.0	 & 	0.0	 & 	404.5	 & 	0.0	 & 	1440.00	 & 	10.0	 & 	11.2	 & 	2.14	 & 	574.2	 & 	12.6
60	 & 	2	 & 	6	 & 	20	 & 	2400	 & 	4116	 & 	17.8	 & 	18.6	 & 	7200.0	 & 	55.0	 & 	64.8	 & 	15.09	 & 	0.0	 & 	0.0	 & 	1012.1	 & 	0.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.00	 & 	669.6	 & 	12.8
55	 & 	2	 & 	9	 & 	12	 & 	1876	 & 	3409	 & 	16.6	 & 	16.8	 & 	7200.0	 & 	47.4	 & 	52.0	 & 	8.80	 & 	32.3	 & 	22.1	 & 	1740.1	 & 	1.2	 & 	1432.50	 & 	47.4	 & 	53.0	 & 	10.49	 & 	457.2	 & 	73.0
60	 & 	2	 & 	3	 & 	40	 & 	3000	 & 	4320	 & 	17.4	 & 	18.8	 & 	7200.0	 & 	63.3	 & 	73.4	 & 	13.60	 & 	17.3	 & 	16.4	 & 	3439.0	 & 	0.0	 & 	2316.94	 & 	37.4	 & 	45.2	 & 	10.37	 & 	555.4	 & 	41.6
55	 & 	2	 & 	3	 & 	36	 & 	2548	 & 	3706	 & 	15.4	 & 	16.0	 & 	7200.0	 & 	58.3	 & 	64.2	 & 	9.24	 & 	46.0	 & 	42.2	 & 	5914.3	 & 	0.0	 & 	3038.99	 & 	55.5	 & 	66.4	 & 	16.44	 & 	440.8	 & 	35.8
50	 & 	2	 & 	9	 & 	11	 & 	1525	 & 	2740	 & 	14.8	 & 	15.2	 & 	7200.0	 & 	43.3	 & 	46.6	 & 	7.01	 & 	67.5	 & 	44.7	 & 	2203.9	 & 	2.4	 & 	1364.19	 & 	43.0	 & 	47.6	 & 	9.62	 & 	399.4	 & 	53.6
45	 & 	2	 & 	6	 & 	15	 & 	1380	 & 	2354	 & 	13.4	 & 	13.6	 & 	7200.0	 & 	40.8	 & 	45.0	 & 	9.25	 & 	84.6	 & 	63.8	 & 	1546.5	 & 	1.4	 & 	1910.05	 & 	39.8	 & 	46.4	 & 	14.10	 & 	383.0	 & 	29.2
30	 & 	8	 & 	6	 & 	10	 & 	240	 & 	433	 & 	2.4	 & 	2.4	 & 	0.4	 & 	14.6	 & 	14.6	 & 	0.00	 & 	0.1	 & 	0.0	 & 	0.3	 & 	3.6	 & 	0.23	 & 	10.6	 & 	15.8	 & 	32.52	 & 	2.8	 & 	0.0
40	 & 	2	 & 	6	 & 	13	 & 	1060	 & 	1836	 & 	11.4	 & 	11.4	 & 	7200.0	 & 	35.4	 & 	38.8	 & 	8.88	 & 	152.5	 & 	107.7	 & 	810.6	 & 	3.0	 & 	962.82	 & 	34.0	 & 	39.6	 & 	14.07	 & 	302.2	 & 	15.9
30	 & 	8	 & 	3	 & 	20	 & 	300	 & 	453	 & 	3.0	 & 	3.0	 & 	1.2	 & 	23.6	 & 	23.6	 & 	0.00	 & 	0.2	 & 	0.0	 & 	0.9	 & 	1.6	 & 	0.59	 & 	19.9	 & 	24.6	 & 	19.22	 & 	0.0	 & 	0.1
30	 & 	8	 & 	9	 & 	6	 & 	216	 & 	418	 & 	2.8	 & 	2.8	 & 	0.3	 & 	11.0	 & 	11.0	 & 	0.00	 & 	0.1	 & 	0.0	 & 	0.2	 & 	3.0	 & 	0.12	 & 	8.6	 & 	12.0	 & 	28.12	 & 	13.6	 & 	0.0
45	 & 	2	 & 	9	 & 	10	 & 	1265	 & 	2303	 & 	14.2	 & 	14.2	 & 	7200.0	 & 	39.5	 & 	42.0	 & 	6.04	 & 	131.3	 & 	83.0	 & 	524.9	 & 	2.4	 & 	362.92	 & 	39.2	 & 	42.2	 & 	7.17	 & 	295.4	 & 	27.3
35	 & 	8	 & 	9	 & 	7	 & 	294	 & 	562	 & 	3.0	 & 	3.0	 & 	1.1	 & 	12.8	 & 	12.8	 & 	0.00	 & 	0.5	 & 	0.0	 & 	0.4	 & 	4.2	 & 	0.16	 & 	9.6	 & 	14.4	 & 	32.94	 & 	18.2	 & 	0.0
45	 & 	2	 & 	3	 & 	30	 & 	1725	 & 	2460	 & 	12.4	 & 	14.0	 & 	7200.0	 & 	48.6	 & 	52.8	 & 	7.94	 & 	153.9	 & 	126.3	 & 	1790.0	 & 	0.0	 & 	1665.30	 & 	45.2	 & 	54.0	 & 	16.30	 & 	354.2	 & 	17.1
50	 & 	2	 & 	3	 & 	33	 & 	2075	 & 	3030	 & 	14.2	 & 	14.6	 & 	7200.0	 & 	54.4	 & 	59.8	 & 	8.97	 & 	116.6	 & 	106.6	 & 	3099.8	 & 	0.0	 & 	1322.26	 & 	50.9	 & 	61.2	 & 	16.80	 & 	388.2	 & 	27.3
35	 & 	8	 & 	6	 & 	11	 & 	322	 & 	585	 & 	2.8	 & 	3.0	 & 	5.3	 & 	17.0	 & 	17.0	 & 	0.00	 & 	2.4	 & 	0.0	 & 	0.6	 & 	2.6	 & 	0.25	 & 	12.1	 & 	18.2	 & 	33.19	 & 	5.6	 & 	0.2
35	 & 	8	 & 	3	 & 	23	 & 	406	 & 	610	 & 	3.2	 & 	3.2	 & 	8.8	 & 	27.6	 & 	27.6	 & 	0.00	 & 	0.5	 & 	0.0	 & 	5.3	 & 	1.4	 & 	2.80	 & 	23.2	 & 	29.6	 & 	21.08	 & 	0.0	 & 	1.1
40	 & 	8	 & 	9	 & 	8	 & 	384	 & 	732	 & 	3.4	 & 	3.4	 & 	17.6	 & 	15.2	 & 	15.2	 & 	0.00	 & 	8.4	 & 	0.0	 & 	1.8	 & 	3.8	 & 	0.26	 & 	11.0	 & 	17.8	 & 	37.78	 & 	20.6	 & 	0.1
60	 & 	2	 & 	9	 & 	13	 & 	2190	 & 	3960	 & 	17.8	 & 	18.4	 & 	7200.0	 & 	51.7	 & 	58.4	 & 	11.38	 & 	10.3	 & 	6.6	 & 	2637.7	 & 	0.4	 & 	1272.76	 & 	31.6	 & 	35.4	 & 	6.39	 & 	518.8	 & 	60.5
40	 & 	8	 & 	3	 & 	26	 & 	528	 & 	795	 & 	3.4	 & 	3.4	 & 	169.0	 & 	32.0	 & 	32.0	 & 	0.00	 & 	10.1	 & 	0.0	 & 	36.7	 & 	1.2	 & 	8.43	 & 	26.3	 & 	34.6	 & 	23.81	 & 	0.0	 & 	3.0
40	 & 	8	 & 	6	 & 	13	 & 	424	 & 	753	 & 	3.6	 & 	3.6	 & 	448.6	 & 	21.8	 & 	21.8	 & 	0.00	 & 	40.9	 & 	0.0	 & 	151.4	 & 	7.2	 & 	2.32	 & 	14.0	 & 	24.2	 & 	42.09	 & 	3.6	 & 	7.1
45	 & 	8	 & 	9	 & 	10	 & 	495	 & 	927	 & 	3.6	 & 	3.6	 & 	792.6	 & 	19.2	 & 	19.2	 & 	0.00	 & 	254.0	 & 	0.0	 & 	111.0	 & 	2.4	 & 	0.83	 & 	13.6	 & 	22.0	 & 	38.06	 & 	30.2	 & 	0.8
45	 & 	8	 & 	3	 & 	30	 & 	675	 & 	1013	 & 	3.4	 & 	3.6	 & 	989.8	 & 	36.8	 & 	36.8	 & 	0.01	 & 	19.0	 & 	0.0	 & 	103.8	 & 	0.4	 & 	10.08	 & 	30.2	 & 	40.6	 & 	25.61	 & 	0.0	 & 	9.0
45	 & 	8	 & 	6	 & 	15	 & 	540	 & 	952	 & 	3.8	 & 	3.8	 & 	2066.5	 & 	24.8	 & 	24.8	 & 	0.00	 & 	68.7	 & 	0.0	 & 	99.0	 & 	2.4	 & 	1.29	 & 	17.0	 & 	28.4	 & 	39.79	 & 	17.8	 & 	21.8
40	 & 	5	 & 	6	 & 	13	 & 	742	 & 	1297	 & 	5.2	 & 	5.2	 & 	5866.6	 & 	23.5	 & 	25.4	 & 	7.27	 & 	140.4	 & 	62.3	 & 	1811.6	 & 	2.2	 & 	13.50	 & 	18.8	 & 	28.8	 & 	34.22	 & 	79.6	 & 	26.3
50	 & 	8	 & 	3	 & 	33	 & 	830	 & 	1222	 & 	4.2	 & 	4.2	 & 	3575.0	 & 	39.6	 & 	40.2	 & 	1.52	 & 	101.1	 & 	48.0	 & 	2026.0	 & 	0.8	 & 	21.92	 & 	33.0	 & 	45.2	 & 	26.81	 & 	0.0	 & 	20.1
45	 & 	5	 & 	9	 & 	10	 & 	825	 & 	1512	 & 	5.8	 & 	6.0	 & 	6719.5	 & 	21.6	 & 	24.2	 & 	10.69	 & 	175.4	 & 	73.7	 & 	1437.4	 & 	1.8	 & 	20.37	 & 	18.4	 & 	27.4	 & 	32.38	 & 	110.8	 & 	33.8
45	 & 	5	 & 	3	 & 	30	 & 	1125	 & 	1614	 & 	6.0	 & 	6.4	 & 	7200.0	 & 	37.8	 & 	41.4	 & 	8.76	 & 	249.4	 & 	197.9	 & 	2239.1	 & 	0.8	 & 	51.58	 & 	32.5	 & 	46.6	 & 	30.12	 & 	12.4	 & 	29.2
45	 & 	5	 & 	6	 & 	15	 & 	900	 & 	1542	 & 	6.0	 & 	6.0	 & 	7200.0	 & 	25.3	 & 	31.0	 & 	18.40	 & 	37.6	 & 	30.9	 & 	3485.9	 & 	1.0	 & 	17.22	 & 	20.1	 & 	37.6	 & 	46.51	 & 	76.2	 & 	99.6
50	 & 	5	 & 	3	 & 	33	 & 	1411	 & 	2052	 & 	5.8	 & 	6.0	 & 	7200.0	 & 	41.6	 & 	46.8	 & 	11.13	 & 	144.8	 & 	119.1	 & 	5340.0	 & 	0.2	 & 	80.75	 & 	35.4	 & 	51.8	 & 	31.42	 & 	13.6	 & 	52.7
55	 & 	8	 & 	3	 & 	36	 & 	1001	 & 	1480	 & 	4.2	 & 	4.8	 & 	5923.3	 & 	42.6	 & 	45.2	 & 	5.76	 & 	150.3	 & 	93.3	 & 	2710.6	 & 	0.6	 & 	29.06	 & 	36.3	 & 	49.2	 & 	26.04	 & 	0.0	 & 	42.7
50	 & 	5	 & 	6	 & 	16	 & 	1122	 & 	1960	 & 	6.4	 & 	6.6	 & 	7200.0	 & 	26.6	 & 	34.2	 & 	21.76	 & 	38.2	 & 	27.6	 & 	4236.9	 & 	2.6	 & 	50.97	 & 	22.0	 & 	40.2	 & 	44.59	 & 	100.2	 & 	137.2
50	 & 	5	 & 	9	 & 	11	 & 	1037	 & 	1892	 & 	6.8	 & 	6.8	 & 	7200.0	 & 	23.0	 & 	29.4	 & 	21.62	 & 	51.0	 & 	36.2	 & 	2829.7	 & 	2.0	 & 	44.74	 & 	20.8	 & 	33.6	 & 	37.51	 & 	143.4	 & 	117.0
50	 & 	8	 & 	9	 & 	11	 & 	610	 & 	1136	 & 	4.4	 & 	4.4	 & 	6836.6	 & 	20.3	 & 	22.2	 & 	8.77	 & 	460.7	 & 	117.7	 & 	549.4	 & 	5.8	 & 	1.46	 & 	14.4	 & 	26.6	 & 	45.84	 & 	35.6	 & 	10.2
55	 & 	5	 & 	9	 & 	12	 & 	1273	 & 	2308	 & 	6.8	 & 	7.0	 & 	7200.0	 & 	23.6	 & 	32.4	 & 	27.21	 & 	13.2	 & 	11.8	 & 	5396.1	 & 	0.8	 & 	87.74	 & 	21.8	 & 	35.2	 & 	37.83	 & 	176.4	 & 	168.0
60	 & 	5	 & 	6	 & 	20	 & 	1600	 & 	2756	 & 	7.0	 & 	7.8	 & 	7200.0	 & 	31.6	 & 	42.8	 & 	26.06	 & 	17.4	 & 	15.2	 & 	5718.5	 & 	1.0	 & 	156.51	 & 	26.6	 & 	47.8	 & 	44.25	 & 	116.2	 & 	256.0
55	 & 	5	 & 	6	 & 	18	 & 	1387	 & 	2407	 & 	6.4	 & 	6.8	 & 	7200.0	 & 	29.3	 & 	38.2	 & 	22.95	 & 	23.5	 & 	19.9	 & 	5390.6	 & 	1.0	 & 	77.90	 & 	25.0	 & 	43.8	 & 	42.64	 & 	124.2	 & 	175.4
60	 & 	5	 & 	9	 & 	13	 & 	1460	 & 	2680	 & 	6.8	 & 	7.2	 & 	7200.0	 & 	26.3	 & 	34.4	 & 	23.52	 & 	9.9	 & 	7.9	 & 	4085.7	 & 	0.6	 & 	414.77	 & 	24.6	 & 	40.4	 & 	38.39	 & 	215.2	 & 	182.5
55	 & 	5	 & 	3	 & 	36	 & 	1729	 & 	2509	 & 	7.2	 & 	7.4	 & 	7200.0	 & 	44.3	 & 	51.0	 & 	13.09	 & 	87.3	 & 	80.0	 & 	2687.3	 & 	1.2	 & 	92.64	 & 	37.9	 & 	56.4	 & 	32.73	 & 	31.6	 & 	93.6
60	 & 	5	 & 	3	 & 	40	 & 	2000	 & 	2896	 & 	6.6	 & 	6.8	 & 	7200.0	 & 	47.4	 & 	54.0	 & 	12.22	 & 	57.1	 & 	52.5	 & 	3636.4	 & 	0.0	 & 	500.17	 & 	41.7	 & 	60.2	 & 	30.48	 & 	28.2	 & 	79.0
50	 & 	8	 & 	6	 & 	16	 & 	660	 & 	1164	 & 	4.0	 & 	4.0	 & 	7200.0	 & 	24.2	 & 	28.6	 & 	15.38	 & 	54.8	 & 	40.6	 & 	2715.8	 & 	1.6	 & 	2.73	 & 	17.8	 & 	34.2	 & 	48.01	 & 	15.4	 & 	68.9
55	 & 	8	 & 	6	 & 	18	 & 	803	 & 	1399	 & 	4.6	 & 	4.6	 & 	7200.0	 & 	25.3	 & 	32.0	 & 	20.93	 & 	28.4	 & 	23.9	 & 	3311.8	 & 	2.0	 & 	10.46	 & 	19.9	 & 	38.0	 & 	47.57	 & 	13.8	 & 	141.4
55	 & 	8	 & 	9	 & 	12	 & 	737	 & 	1372	 & 	4.4	 & 	4.4	 & 	7200.0	 & 	20.5	 & 	24.4	 & 	15.78	 & 	157.7	 & 	114.4	 & 	1757.7	 & 	2.8	 & 	1.85	 & 	15.2	 & 	29.2	 & 	47.69	 & 	37.0	 & 	45.5
60	 & 	8	 & 	3	 & 	40	 & 	1200	 & 	1759	 & 	4.6	 & 	4.8	 & 	7200.0	 & 	45.5	 & 	50.4	 & 	9.68	 & 	54.3	 & 	46.9	 & 	6938.2	 & 	0.2	 & 	35.19	 & 	40.1	 & 	56.0	 & 	28.37	 & 	2.2	 & 	98.2
60	 & 	8	 & 	6	 & 	20	 & 	960	 & 	1663	 & 	4.8	 & 	4.8	 & 	7200.0	 & 	27.1	 & 	36.4	 & 	25.53	 & 	13.2	 & 	10.6	 & 	4209.9	 & 	1.6	 & 	32.99	 & 	21.2	 & 	42.4	 & 	49.86	 & 	5.2	 & 	222.9
